category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
音楽,小田和正のデビュー年は？,音楽アーティストについて,1,15,小田和正は1979年にオフコースでデビューしました,1977年,1979年,1981年,1983年,2
映画,北野武監督の代表作「ソナチネ」の特徴は？,映画監督について,2,25,「ソナチネ」は暴力と美の対比が特徴です,コメディ,暴力と美の対比,ロマンス,アクション,2
文学,金原ひとみの芥川賞受賞作は？,現代文学について,2,20,金原ひとみは「蛇にピアス」で2003年に芥川賞を受賞しました,「蛇にピアス」,「アンソロジー」,「トリニティ、トリニティ、トリニティ」,「マザーズ」,1
演劇,鈴木忠志の代表作「からゆきさん」の特徴は？,演劇演出家について,2,25,鈴木忠志は身体性を重視した演出が特徴です,身体性を重視,心理劇,ミュージカル,即興劇,1
現代アート,奈良美智の「ドームプロジェクト」の特徴は？,現代アートについて,2,25,「ドームプロジェクト」は建築とアートの融合プロジェクトです,建築とアートの融合,絵画のみ,彫刻のみ,写真のみ,1
音楽,松任谷由実のデビュー年は？,音楽アーティストについて,1,15,松任谷由実は1973年に「ひこうき雲」でデビューしました,1971年,1973年,1975年,1977年,2
映画,河瀬直美監督の代表作「萌の朱雀」の特徴は？,映画監督について,2,25,「萌の朱雀」は自然と人間の関係を描いた作品です,都市生活,自然と人間の関係,戦争,恋愛,2
文学,青山七恵の芥川賞受賞作は？,現代文学について,2,20,青山七恵は「ひとり日和」で2007年に芥川賞を受賞しました,「ひとり日和」,「窓の灯」,「魔法使いの弟子」,「おいしい生活」,1
演劇,野田秀樹の「NODA・MAP」の演出スタイルは？,演劇演出家について,2,25,野田秀樹は複雑なストーリーと視覚的演出が特徴です,シンプル,複雑なストーリーと視覚的演出,即興的,古典的,2
現代アート,村上隆の「DOB君」の特徴は？,現代アートについて,2,20,「DOB君」は村上隆が創造したキャラクターです,実在のキャラクター,創造したキャラクター,動物,植物,2
音楽,宇多田ヒカルの「First Love」の売上枚数は？,音楽アーティストについて,2,25,「First Love」は日本史上最高の売上枚数765万枚を記録しました,500万枚,765万枚,1000万枚,1200万枚,2
映画,是枝裕和監督の「海街diary」の主演は？,映画監督について,2,20,「海街diary」の主演は綾瀬はるか、長澤まさみ、夏帆、広瀬すずです,綾瀬はるか、長澤まさみ、夏帆、広瀬すず,樹木希林,リリー・フランキー,阿部サダヲ,1
文学,綿矢りさの芥川賞受賞作は？,現代文学について,2,20,綿矢りさは「蹴りたい背中」で2003年に芥川賞を受賞しました,「蹴りたい背中」,「インストール」,「夢を与える」,「はじめての」,1
演劇,三浦大輔の「マクベス」の演出特徴は？,演劇演出家について,2,25,三浦大輔は現代的な解釈で古典を演出します,古典的演出,現代的な解釈,ミニマル演出,即興演出,2
現代アート,草間彌生の「無限の鏡の部屋」の特徴は？,現代アートについて,2,25,「無限の鏡の部屋」は鏡とライトで無限空間を表現します,鏡とライトで無限空間,絵画のみ,彫刻のみ,写真のみ,1
音楽,米津玄師の「Lemon」の特徴は？,音楽アーティストについて,2,20,「Lemon」はドラマ「アンナチュラル」の主題歌です,アニメ主題歌,ドラマ主題歌,映画主題歌,CMソング,2
映画,新海誠監督の「天気の子」の公開年は？,アニメ映画監督について,1,15,「天気の子」は2019年に公開されました,2017年,2019年,2021年,2023年,2
文学,朝井リョウの「何者」の特徴は？,現代文学について,2,25,「何者」は就職活動をテーマにした作品です,恋愛,就職活動,家族,友情,2
演劇,野田秀樹の「Q」の特徴は？,演劇作品について,2,25,「Q」は複雑なストーリーと視覚的演出が特徴です,シンプルなストーリー,複雑なストーリーと視覚的演出,即興劇,ミュージカル,2
現代アート,奈良美智の「Miss Forest」の特徴は？,現代アートについて,2,20,「Miss Forest」は大きな目をした少女の彫刻作品です,大きな目をした少女,動物,植物,抽象,1
音楽,椎名林檎の「本能」の特徴は？,音楽アーティストについて,2,20,「本能」は椎名林檎のデビューシングルです,デビューシングル,2ndシングル,3rdシングル,4thシングル,1
映画,山田洋次監督の「男はつらいよ」シリーズの主演は？,映画監督について,1,15,「男はつらいよ」シリーズの主演は渥美清です,渥美清,高倉健,倍賞千恵子,笠智衆,1
文学,川上未映子の「乳と卵」の特徴は？,現代文学について,2,25,「乳と卵」は女性の身体性をテーマにした作品です,男性の視点,女性の身体性,家族,友情,2
演劇,蜷川幸雄の「リア王」の演出特徴は？,演劇演出家について,2,25,蜷川幸雄は古典を現代的な解釈で演出します,古典的演出,現代的な解釈,ミニマル演出,即興演出,2
現代アート,村上隆の「727」の特徴は？,現代アートについて,2,20,「727」は村上隆の代表的なキャラクター作品です,抽象画,キャラクター作品,風景画,肖像画,2
音楽,中島みゆきの「時代」の特徴は？,音楽アーティストについて,2,20,「時代」は中島みゆきの代表的な楽曲です,デビュー曲,代表曲,最新曲,カバー曲,2
映画,黒沢清監督の「Xサスペンス」の特徴は？,映画監督について,2,25,「Xサスペンス」はサスペンス映画です,アクション,サスペンス,コメディ,ドラマ,2
文学,平野啓一郎の「日蝕」の特徴は？,現代文学について,2,25,「日蝕」は複雑な時間構造を持つ作品です,シンプルな構造,複雑な時間構造,短編,詩集,2
演劇,鈴木忠志の「からゆきさん」の演出特徴は？,演劇演出家について,2,25,鈴木忠志は身体性を重視した演出が特徴です,心理劇,身体性を重視,ミュージカル,即興劇,2
現代アート,草間彌生の「水玉」の意味は？,現代アートについて,2,25,草間彌生の水玉は無限の宇宙を表現しています,装飾,無限の宇宙,偶然,流行,2
音楽,小田和正の「ラブ・ストーリーは突然に」の特徴は？,音楽アーティストについて,2,20,「ラブ・ストーリーは突然に」はドラマ「東京ラブストーリー」の主題歌です,アニメ主題歌,ドラマ主題歌,映画主題歌,CMソング,2
映画,北野武監督の「HANA-BI」の受賞は？,映画監督について,2,25,「HANA-BI」は1997年にヴェネツィア国際映画祭で金獅子賞を受賞しました,カンヌ映画祭,ヴェネツィア国際映画祭,ベルリン国際映画祭,アカデミー賞,2
文学,金原ひとみの「蛇にピアス」の特徴は？,現代文学について,2,25,「蛇にピアス」は若者の身体改造をテーマにした作品です,恋愛,身体改造,家族,友情,2
演劇,野田秀樹の「エレファント」の特徴は？,演劇作品について,2,25,「エレファント」は複雑なストーリーと視覚的演出が特徴です,シンプルなストーリー,複雑なストーリーと視覚的演出,即興劇,ミュージカル,2
現代アート,奈良美智の「A to Z Memorial」の特徴は？,現代アートについて,2,25,「A to Z Memorial」は奈良美智の大規模な個展プロジェクトです,グループ展,大規模な個展,アートフェア,パフォーマンス,2
音楽,松任谷由実の「春よ、来い」の特徴は？,音楽アーティストについて,2,20,「春よ、来い」は松任谷由実の代表的な楽曲です,デビュー曲,代表曲,最新曲,カバー曲,2
映画,河瀬直美監督の「殯の森」の受賞は？,映画監督について,2,25,「殯の森」は2007年にカンヌ国際映画祭でグランプリを受賞しました,パルム・ドール,グランプリ,審査員賞,監督賞,2
文学,青山七恵の「ひとり日和」の特徴は？,現代文学について,2,25,「ひとり日和」は一人暮らしの女性を描いた作品です,家族,一人暮らし,友情,恋愛,2
演劇,三浦大輔の「マクベス」の演出特徴は？,演劇演出家について,2,25,三浦大輔は現代的な解釈で古典を演出します,古典的演出,現代的な解釈,ミニマル演出,即興演出,2
現代アート,村上隆の「スーパーフラット」理論の影響は？,現代アート理論について,2,25,スーパーフラット理論は日本のアートシーンに大きな影響を与えました,欧米のみ,日本のアートシーン,アジアのみ,アフリカのみ,2
音楽,宇多田ヒカルの「光」の特徴は？,音楽アーティストについて,2,20,「光」は映画「キングダム・ハーツ」の主題歌です,アニメ主題歌,映画主題歌,ドラマ主題歌,CMソング,2
映画,是枝裕和監督の「誰も知らない」の主演は？,映画監督について,2,20,「誰も知らない」の主演は柳楽優弥です,柳楽優弥,福山雅治,広末涼子,樹木希林,1
文学,綿矢りさの「蹴りたい背中」の特徴は？,現代文学について,2,25,「蹴りたい背中」は思春期の少女を描いた作品です,大人,思春期の少女,老人,子供,2
演劇,蜷川幸雄の「リア王」の演出特徴は？,演劇演出家について,2,25,蜷川幸雄は古典を現代的な解釈で演出します,古典的演出,現代的な解釈,ミニマル演出,即興演出,2
現代アート,草間彌生の「南瓜」の意味は？,現代アートについて,2,25,草間彌生の「南瓜」は生命の象徴です,装飾,生命の象徴,偶然,流行,2
音楽,米津玄師の「LOSER」の特徴は？,音楽アーティストについて,2,20,「LOSER」は米津玄師の代表的な楽曲です,デビュー曲,代表曲,最新曲,カバー曲,2
映画,新海誠監督の「言の葉の庭」の特徴は？,アニメ映画監督について,2,25,「言の葉の庭」は雨をテーマにした作品です,雪,雨,風,雷,2
文学,朝井リョウの「桐島、部活やめるってよ」の特徴は？,現代文学について,2,25,「桐島、部活やめるってよ」は高校生を描いた作品です,大学生,高校生,中学生,社会人,2
演劇,野田秀樹の「ゼロ」の特徴は？,演劇作品について,2,25,「ゼロ」は複雑なストーリーと視覚的演出が特徴です,シンプルなストーリー,複雑なストーリーと視覚的演出,即興劇,ミュージカル,2
現代アート,奈良美智の「A to Z Memorial」の開催地は？,現代アートについて,2,25,「A to Z Memorial」は青森県弘前市で開催されました,東京,青森県弘前市,大阪,福岡,2
音楽,椎名林檎の「歌舞伎町の女王」の特徴は？,音楽アーティストについて,2,20,「歌舞伎町の女王」は椎名林檎の代表的な楽曲です,デビュー曲,代表曲,最新曲,カバー曲,2
映画,山田洋次監督の「おとうと」のテーマは？,映画監督について,2,25,「おとうと」は家族愛をテーマにした作品です,恋愛,家族愛,友情,戦争,2
文学,川上未映子の「乳と卵」の特徴は？,現代文学について,2,25,「乳と卵」は女性の身体性をテーマにした作品です,男性の視点,女性の身体性,家族,友情,2
演劇,三浦大輔の「マクベス」の演出特徴は？,演劇演出家について,2,25,三浦大輔は現代的な解釈で古典を演出します,古典的演出,現代的な解釈,ミニマル演出,即興演出,2
現代アート,村上隆の「DOB君」の意味は？,現代アートについて,2,25,「DOB君」は「DOB」という言葉から生まれたキャラクターです,実在の人物,創造したキャラクター,動物,植物,2
音楽,中島みゆきの「地上の星」の特徴は？,音楽アーティストについて,2,20,「地上の星」はドラマ「プロジェクトX」の主題歌です,アニメ主題歌,ドラマ主題歌,映画主題歌,CMソング,2
映画,黒沢清監督の「回路」の特徴は？,映画監督について,2,25,「回路」はインターネットをテーマにしたホラー映画です,恋愛,インターネット,家族,友情,2
文学,平野啓一郎の「日蝕」の特徴は？,現代文学について,2,25,「日蝕」は複雑な時間構造を持つ作品です,シンプルな構造,複雑な時間構造,短編,詩集,2
演劇,鈴木忠志の「からゆきさん」の演出特徴は？,演劇演出家について,2,25,鈴木忠志は身体性を重視した演出が特徴です,心理劇,身体性を重視,ミュージカル,即興劇,2
現代アート,草間彌生の「無限の鏡の部屋」の効果は？,現代アートについて,2,25,「無限の鏡の部屋」は無限空間を体験できるインスタレーションです,絵画,彫刻,インスタレーション,写真,3
音楽,小田和正の「ラブ・ストーリーは突然に」の売上は？,音楽アーティストについて,2,25,「ラブ・ストーリーは突然に」は約260万枚の売上を記録しました,100万枚,260万枚,500万枚,1000万枚,2
映画,北野武監督の「HANA-BI」の特徴は？,映画監督について,2,25,「HANA-BI」は暴力と美の対比が特徴です,コメディ,暴力と美の対比,ロマンス,アクション,2
文学,金原ひとみの「蛇にピアス」の特徴は？,現代文学について,2,25,「蛇にピアス」は若者の身体改造をテーマにした作品です,恋愛,身体改造,家族,友情,2
演劇,野田秀樹の「エレファント」の特徴は？,演劇作品について,2,25,「エレファント」は複雑なストーリーと視覚的演出が特徴です,シンプルなストーリー,複雑なストーリーと視覚的演出,即興劇,ミュージカル,2
現代アート,奈良美智の「Miss Forest」の設置場所は？,現代アートについて,2,25,「Miss Forest」は青森県立美術館に設置されています,東京国立近代美術館,青森県立美術館,森美術館,金沢21世紀美術館,2
音楽,松任谷由実の「春よ、来い」の特徴は？,音楽アーティストについて,2,20,「春よ、来い」は松任谷由実の代表的な楽曲です,デビュー曲,代表曲,最新曲,カバー曲,2
映画,河瀬直美監督の「萌の朱雀」の特徴は？,映画監督について,2,25,「萌の朱雀」は自然と人間の関係を描いた作品です,都市生活,自然と人間の関係,戦争,恋愛,2
文学,青山七恵の「ひとり日和」の特徴は？,現代文学について,2,25,「ひとり日和」は一人暮らしの女性を描いた作品です,家族,一人暮らし,友情,恋愛,2
演劇,蜷川幸雄の「リア王」の演出特徴は？,演劇演出家について,2,25,蜷川幸雄は古典を現代的な解釈で演出します,古典的演出,現代的な解釈,ミニマル演出,即興演出,2 
