category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
文化,栃木県の伝統工芸「益子焼」の窯元の最盛期は？,栃木県の伝統工芸について,2,25,益子焼の窯元は昭和30年代が最盛期でした,大正時代,昭和30年代,昭和50年代,平成時代,2
地理,栃木県の県境の総延長は約何キロメートル？,栃木県の地理について,2,25,栃木県の県境の総延長は約400キロメートルです,300キロメートル,400キロメートル,500キロメートル,600キロメートル,2
歴史,栃木県の「壬生城」の築城年は？,栃木県の歴史について,2,25,壬生城は戦国時代の1550年に築城されました,1500年,1550年,1570年,1600年,2
観光,日光の「輪王寺」の建立年は？,栃木県の寺院について,2,20,輪王寺は766年に建立されました,750年,766年,780年,800年,2
産業,栃木県の農業で最も多い農業協同組合数は？,栃木県の農業について,2,25,栃木県の農業協同組合数は稲作組合が最も多いです,稲作組合,野菜組合,果樹組合,畜産組合,1
特産品,栃木県の「佐野うどん」の麺の太さは約何ミリ？,栃木県の食文化について,2,20,佐野うどんの麺の太さは約8ミリです,5ミリ,8ミリ,12ミリ,15ミリ,2
文化,栃木県の祭り「栃木まつり」の参加者数は約何人？,栃木県の伝統文化について,2,25,栃木まつりの参加者数は約5万人です,2万人,5万人,8万人,10万人,2
地理,栃木県の河川で最も流域面積が大きいのは？,栃木県の地理について,2,20,栃木県の河川で最も流域面積が大きいのは鬼怒川です,那珂川,鬼怒川,思川,巴波川,2
歴史,栃木県の「足利学校」の創設者の出身は？,栃木県の歴史について,2,25,足利学校の創設者足利尊氏は足利氏の出身です,宇都宮氏,足利氏,小山氏,佐野氏,2
観光,那須高原の年間降水量は約何ミリ？,栃木県の観光について,2,20,那須高原の年間降水量は約1,500ミリです,1,000ミリ,1,500ミリ,2,000ミリ,2,500ミリ,2
産業,栃木県の工業で最も多い企業規模は？,栃木県の産業について,2,25,栃木県の工業企業規模は10-49人が最も多いです,1-9人,10-49人,100-299人,1,000人以上,2
特産品,栃木県の「那須高原のチーズ」の生産量は約何トン？,栃木県の特産品について,2,25,那須高原のチーズの生産量は約100トンです,50トン,100トン,200トン,300トン,2
文化,栃木県の伝統工芸「結城紬」の織り手の数は約何人？,栃木県の伝統工芸について,2,25,結城紬の織り手は約100人です,50人,100人,200人,300人,2
地理,栃木県の県境で最も長いのは群馬県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と群馬県の境界は約150キロメートルです,100キロメートル,150キロメートル,200キロメートル,250キロメートル,2
歴史,栃木県の「宇都宮城」の築城年は？,栃木県の歴史について,2,25,宇都宮城は平安時代末期に築城されました,奈良時代,平安時代末期,鎌倉時代,室町時代,2
観光,日光の「華厳の滝」の流量は約何リットル/秒？,栃木県の観光について,2,25,華厳の滝の流量は約1,000リットル/秒です,500リットル/秒,1,000リットル/秒,2,000リットル/秒,3,000リットル/秒,2
産業,栃木県の農業で最も多い農地の種類は？,栃木県の農業について,2,25,栃木県の農地で最も多いのは田です,田,畑,果樹園,牧草地,1
特産品,栃木県の「宇都宮餃子」の店舗の平均従業者数は約何人？,栃木県の食文化について,2,25,宇都宮餃子店の平均従業者数は約5人です,3人,5人,8人,10人,2
文化,栃木県の祭り「鹿沼今宮神社祭」の屋台の重量は約何トン？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭の屋台の重量は約5トンです,2トン,5トン,8トン,10トン,2
地理,栃木県の湖沼で最も深いのは？,栃木県の地理について,2,20,栃木県の湖沼で最も深いのは中禅寺湖です,中禅寺湖,湯ノ湖,菖蒲ヶ浜,大池,1
歴史,栃木県の「小山城」の城主の最後は？,栃木県の歴史について,2,25,小山城の最後の城主は小山氏でした,宇都宮氏,小山氏,佐野氏,壬生氏,2
観光,鬼怒川温泉の源泉の温度は約何度？,栃木県の温泉について,2,20,鬼怒川温泉の源泉の温度は約60度です,40度,60度,80度,100度,2
産業,栃木県の工業で最も多い従業者の年齢層は？,栃木県の産業について,2,25,栃木県の工業従業者で最も多いのは40-49歳です,20-29歳,40-49歳,50-59歳,60歳以上,2
特産品,栃木県の「那須和牛」の飼育期間は約何ヶ月？,栃木県の畜産について,2,20,那須和牛の飼育期間は約30ヶ月です,20ヶ月,30ヶ月,40ヶ月,50ヶ月,2
文化,栃木県の伝統工芸「益子焼」の窯の温度は約何度？,栃木県の伝統工芸について,2,25,益子焼の窯の温度は約1,200度です,800度,1,200度,1,500度,1,800度,2
地理,栃木県の県境で最も短いのは埼玉県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と埼玉県の境界は約10キロメートルです,5キロメートル,10キロメートル,15キロメートル,20キロメートル,2
歴史,栃木県の「佐野城」の城主の最後は？,栃木県の歴史について,2,25,佐野城の最後の城主は佐野氏でした,宇都宮氏,佐野氏,小山氏,壬生氏,2
観光,那須温泉の源泉の深さは約何メートル？,栃木県の温泉について,2,20,那須温泉の源泉の深さは約800メートルです,500メートル,800メートル,1,200メートル,1,500メートル,2
産業,栃木県の農業で最も多い農家の経営規模は？,栃木県の農業について,2,25,栃木県の農家で最も多い経営規模は1-2ヘクタールです,1ヘクタール未満,1-2ヘクタール,3-5ヘクタール,10ヘクタール以上,2
特産品,栃木県の「佐野ラーメン」の麺の太さは約何ミリ？,栃木県の食文化について,2,20,佐野ラーメンの麺の太さは約2ミリです,1ミリ,2ミリ,3ミリ,4ミリ,2
文化,栃木県の祭り「足利まつり」の屋台の数は？,栃木県の伝統文化について,2,25,足利まつりの屋台は約10台です,5台,10台,15台,20台,2
地理,栃木県の山で最も古いのは？,栃木県の地理について,2,20,栃木県の山で最も古いのは男体山です,男体山,白根山,三本槍岳,茶臼岳,1
歴史,栃木県の「壬生城」の城主の最後は？,栃木県の歴史について,2,25,壬生城の最後の城主は壬生氏でした,宇都宮氏,壬生氏,佐野氏,小山氏,2
観光,日光の「輪王寺」の国宝の数は？,栃木県の文化財について,2,20,輪王寺の国宝は1件です,1件,2件,3件,4件,1
産業,栃木県の工業で最も多い企業の設立年は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い設立年は昭和40年代です,大正時代,昭和30年代,昭和40年代,平成時代,3
特産品,栃木県の「那須高原のりんご」の収穫時期は？,栃木県の農業について,2,20,那須高原のりんごの収穫時期は10-11月です,8-9月,10-11月,12-1月,2-3月,2
文化,栃木県の伝統工芸「結城紬」の織り手の平均年齢は約何歳？,栃木県の伝統工芸について,2,25,結城紬の織り手の平均年齢は約60歳です,40歳,60歳,80歳,100歳,2
地理,栃木県の県境で最も長いのは群馬県との境界で約何キロメートル？,栃木県の地理について,2,25,栃木県と群馬県の境界は約150キロメートルです,100キロメートル,150キロメートル,200キロメートル,250キロメートル,2
歴史,栃木県の「宇都宮城」の築城者の出身は？,栃木県の歴史について,2,25,宇都宮城の築城者宇都宮氏は下野国の豪族です,足利氏,宇都宮氏,小山氏,佐野氏,2
観光,日光の「中禅寺湖」の最大水深は約何メートル？,栃木県の観光について,2,20,中禅寺湖の最大水深は約163メートルです,100メートル,163メートル,200メートル,250メートル,2
産業,栃木県の農業で最も多い農家の年齢層は？,栃木県の農業について,2,25,栃木県の農家で最も多い年齢層は65歳以上です,35-44歳,45-54歳,55-64歳,65歳以上,4
特産品,栃木県の「宇都宮餃子」の1店舗あたりの平均売上は約何万円？,栃木県の食文化について,2,25,宇都宮餃子店の平均売上は約500万円です,300万円,500万円,800万円,1,000万円,2
文化,栃木県の祭り「栃木まつり」の屋台の数は？,栃木県の伝統文化について,2,25,栃木まつりの屋台は約5台です,3台,5台,8台,10台,2
地理,栃木県の河川で最も流域面積が大きいのは鬼怒川で約何平方キロメートル？,栃木県の地理について,2,25,鬼怒川の流域面積は約1,760平方キロメートルです,1,000平方キロメートル,1,760平方キロメートル,2,500平方キロメートル,3,000平方キロメートル,2
歴史,栃木県の「足利学校」の創設者の生年は？,栃木県の歴史について,2,25,足利尊氏の生年は1305年です,1280年,1305年,1330年,1350年,2
観光,那須高原の年間平均気温は約何度？,栃木県の観光について,2,20,那須高原の年間平均気温は約10度です,5度,10度,15度,20度,2
産業,栃木県の工業で最も多い従業者の勤続年数は？,栃木県の産業について,2,25,栃木県の工業従業者で最も多い勤続年数は10-19年です,1-9年,10-19年,20-29年,30年以上,2
特産品,栃木県の「那須和牛」の1頭あたりの平均価格は約何万円？,栃木県の畜産について,2,25,那須和牛の1頭あたりの平均価格は約100万円です,50万円,100万円,150万円,200万円,2
文化,栃木県の伝統工芸「益子焼」の窯元の平均従業者数は約何人？,栃木県の伝統工芸について,2,25,益子焼窯元の平均従業者数は約5人です,3人,5人,8人,10人,2
地理,栃木県の県境の総延長は約何キロメートル？,栃木県の地理について,2,25,栃木県の県境の総延長は約400キロメートルです,300キロメートル,400キロメートル,500キロメートル,600キロメートル,2
歴史,栃木県の「小山城」の築城者の出身は？,栃木県の歴史について,2,25,小山城の築城者小山氏は下野国の豪族です,足利氏,小山氏,佐野氏,壬生氏,2
観光,日光の「華厳の滝」の観光客数は年間約何人？,栃木県の観光について,2,25,華厳の滝の年間観光客数は約100万人です,50万人,100万人,150万人,200万人,2
産業,栃木県の農業で最も多い農家の経営形態は？,栃木県の農業について,2,25,栃木県の農家で最も多い経営形態は家族経営です,法人経営,家族経営,共同経営,委託経営,2
特産品,栃木県の「佐野うどん」の1店舗あたりの平均売上は約何万円？,栃木県の食文化について,2,25,佐野うどん店の平均売上は約300万円です,200万円,300万円,500万円,800万円,2
文化,栃木県の祭り「鹿沼今宮神社祭」の参加者数は約何人？,栃木県の伝統文化について,2,25,鹿沼今宮神社祭の参加者数は約20万人です,10万人,20万人,30万人,40万人,2
地理,栃木県の湖沼で最も古いのは？,栃木県の地理について,2,20,栃木県の湖沼で最も古いのは中禅寺湖です,中禅寺湖,湯ノ湖,菖蒲ヶ浜,大池,1
歴史,栃木県の「佐野城」の築城者の出身は？,栃木県の歴史について,2,25,佐野城の築城者佐野氏は下野国の豪族です,足利氏,佐野氏,小山氏,壬生氏,2
観光,鬼怒川温泉の年間観光客数は約何人？,栃木県の観光について,2,25,鬼怒川温泉の年間観光客数は約200万人です,100万人,200万人,300万人,400万人,2
産業,栃木県の工業で最も多い企業の資本金は？,栃木県の産業について,2,25,栃木県の工業企業で最も多い資本金は1,000万円未満です,100万円未満,1,000万円未満,1億円未満,10億円以上,2
特産品,栃木県の「那須高原のチーズ」の1キログラムあたりの平均価格は約何円？,栃木県の特産品について,2,25,那須高原のチーズの1キログラムあたりの平均価格は約2,000円です,1,000円,2,000円,3,000円,4,000円,2
文化,栃木県の伝統工芸「結城紬」の織り手の最年少は約何歳？,栃木県の伝統工芸について,2,25,結城紬の織り手の最年少は約30歳です,20歳,30歳,40歳,50歳,2 
