category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
歴史,栃木県の戦国時代の武将「宇都宮氏」の居城は？,栃木県の歴史について,2,20,宇都宮氏の居城は宇都宮城でした,足利城,宇都宮城,佐野城,小山城,2
観光,那須高原の標高は約何メートル？,栃木県の観光地について,2,20,那須高原の標高は約1,000-1,500メートルです,500-800メートル,1,000-1,500メートル,1,500-2,000メートル,2,000メートル以上,2
産業,栃木県の製造業で最も従業者数が多いのは？,栃木県の産業について,2,25,栃木県の製造業は自動車関連が最も従業者数が多いです,食品製造,自動車関連,電子機器,化学工業,2
特産品,栃木県の「宇都宮餃子」の特徴は？,栃木県の食文化について,1,15,宇都宮餃子は皮が薄く、具がたっぷりが特徴です,皮が厚い,皮が薄く具がたっぷり,辛い,甘い,2
文化,栃木県の伝統工芸「結城紬」の特徴は？,栃木県の伝統工芸について,2,25,結城紬は茨城県結城市と栃木県小山市で作られる絹織物です,綿織物,絹織物,麻織物,毛織物,2
地理,栃木県の県木は？,栃木県のシンボルについて,1,15,栃木県の県木はトチノキです,サクラ,トチノキ,ケヤキ,マツ,2
歴史,栃木県の「下野国」の範囲は？,栃木県の歴史について,2,20,下野国は現在の栃木県全域に相当します,栃木県全域,栃木県の一部,栃木県と群馬県,栃木県と茨城県,1
観光,日光の「輪王寺」の宗派は？,栃木県の寺院について,2,20,輪王寺は天台宗の寺院です,真言宗,天台宗,浄土宗,禅宗,2
産業,栃木県の工業団地で最も大きいのは？,栃木県の産業について,2,25,栃木県最大の工業団地は宇都宮インターパークです,宇都宮インターパーク,佐野工業団地,足利工業団地,小山工業団地,1
特産品,栃木県の「那須和牛」の特徴は？,栃木県の畜産について,2,20,那須和牛は那須高原で育てられる高級和牛です,乳牛,高級和牛,肉牛,役牛,2
文化,栃木県の祭り「足利まつり」の特徴は？,栃木県の伝統文化について,2,25,足利まつりは足利学校の孔子祭が起源です,花火大会,孔子祭,神輿,山車,2
地理,栃木県の県鳥は？,栃木県のシンボルについて,1,15,栃木県の県鳥はオオルリです,ウグイス,オオルリ,キジ,スズメ,2
歴史,栃木県の「壬生城」の城主は？,栃木県の歴史について,2,20,壬生城は壬生氏の居城でした,宇都宮氏,壬生氏,佐野氏,小山氏,2
観光,鬼怒川ライン下りの距離は約何キロメートル？,栃木県の観光について,2,20,鬼怒川ライン下りは約6キロメートルです,3キロメートル,6キロメートル,10キロメートル,15キロメートル,2
産業,栃木県の農業で最も栽培面積が大きいのは？,栃木県の農業について,2,20,栃木県の農業で最も栽培面積が大きいのは米です,米,野菜,果実,花卉,1
特産品,栃木県の「佐野うどん」の特徴は？,栃木県の食文化について,2,20,佐野うどんは太くてコシのある麺が特徴です,細い麺,太くてコシのある麺,平たい麺,丸い麺,2
文化,栃木県の伝統工芸「益子焼」の特徴は？,栃木県の伝統工芸について,2,25,益子焼は民芸調の実用的な陶器が特徴です,高級品,民芸調,現代アート,伝統工芸,2
地理,栃木県の人口で最も多い市は？,栃木県の人口統計について,1,15,栃木県で最も人口が多いのは宇都宮市です,足利市,宇都宮市,栃木市,佐野市,2
歴史,栃木県の「小山城」の築城者は？,栃木県の歴史について,2,20,小山城は小山氏が築城しました,宇都宮氏,小山氏,佐野氏,壬生氏,2
観光,日光の「二荒山神社」の祭神は？,栃木県の神社について,2,20,二荒山神社の祭神は男体山の神です,天照大神,男体山の神,菅原道真,徳川家康,2
産業,栃木県の工業で最も輸出額が多いのは？,栃木県の貿易について,2,25,栃木県の工業輸出額は自動車関連が最も多いです,食品,自動車関連,電子機器,化学製品,2
特産品,栃木県の「那須高原のチーズ」の特徴は？,栃木県の特産品について,2,20,那須高原のチーズは高原の新鮮な牛乳で作られます,工場生産,高原の牛乳,輸入原料,混合乳,2
文化,栃木県の祭り「栃木まつり」の特徴は？,栃木県の伝統文化について,2,25,栃木まつりは栃木市の伝統的な祭りです,花火大会,伝統祭り,現代祭り,音楽祭,2
地理,栃木県の県魚は？,栃木県のシンボルについて,1,15,栃木県の県魚はヤマメです,アユ,ヤマメ,イワナ,ニジマス,2
歴史,栃木県の「佐野城」の築城者は？,栃木県の歴史について,2,20,佐野城は佐野氏が築城しました,宇都宮氏,佐野氏,小山氏,壬生氏,2
観光,那須温泉の泉質は？,栃木県の温泉について,2,20,那須温泉は硫黄泉が特徴です,アルカリ泉,硫黄泉,塩化物泉,炭酸泉,2
産業,栃木県の農業で最も生産額が多いのは？,栃木県の農業について,2,20,栃木県の農業生産額は米が最も多いです,米,野菜,果実,畜産,1
特産品,栃木県の「宇都宮餃子」の店舗数は約何店？,栃木県の食文化について,2,25,宇都宮市には約300店の餃子店があります,100店,300店,500店,700店,2
文化,栃木県の伝統工芸「結城紬」の技法は？,栃木県の伝統工芸について,2,25,結城紬は手紡ぎ・手織りの技法で作られます,機械織り,手紡ぎ・手織り,化学繊維,混紡,2
地理,栃木県の面積で最も大きい市町村は？,栃木県の地理について,2,20,栃木県で最も面積が大きいのは日光市です,宇都宮市,日光市,足利市,佐野市,2
歴史,栃木県の「足利学校」の最盛期は？,栃木県の歴史について,2,25,足利学校は室町時代に最盛期を迎えました,平安時代,室町時代,江戸時代,明治時代,2
観光,日光の「神橋」の特徴は？,栃木県の観光について,2,20,神橋は朱塗りの木造橋で重要文化財です,石橋,朱塗り木造橋,鉄橋,コンクリート橋,2
産業,栃木県の工業で最も従業者数が多いのは？,栃木県の産業について,2,25,栃木県の工業従業者数は自動車関連が最も多いです,食品製造,自動車関連,電子機器,化学工業,2
特産品,栃木県の「那須高原のりんご」の特徴は？,栃木県の農業について,2,20,那須高原のりんごは昼夜の温度差で甘みが増します,酸味が強い,甘みが増す,小さい,大きい,2
文化,栃木県の祭り「佐野まつり」の特徴は？,栃木県の伝統文化について,2,25,佐野まつりは佐野厄除け大師の祭りです,花火大会,厄除け祭り,神輿,山車,2
地理,栃木県の県獣は？,栃木県のシンボルについて,1,15,栃木県の県獣はカモシカです,シカ,カモシカ,クマ,イノシシ,2
歴史,栃木県の「小山城」の別名は？,栃木県の歴史について,2,20,小山城は別名「祇園城」と呼ばれました,祇園城,小山城,佐野城,足利城,1
観光,鬼怒川温泉の源泉数は約何本？,栃木県の温泉について,2,20,鬼怒川温泉の源泉数は約100本です,50本,100本,150本,200本,2
産業,栃木県の農業で最も栽培面積が大きい果実は？,栃木県の農業について,2,20,栃木県の果実栽培面積はりんごが最も大きいです,ぶどう,りんご,もも,なし,2
特産品,栃木県の「宇都宮餃子」の起源は？,栃木県の食文化について,2,25,宇都宮餃子は戦後、満州からの引揚者が始めたとされています,江戸時代,戦後,明治時代,昭和中期,2
文化,栃木県の伝統工芸「益子焼」の窯元数は約何軒？,栃木県の伝統工芸について,2,25,益子焼の窯元は約100軒あります,50軒,100軒,150軒,200軒,2
地理,栃木県の人口密度で最も高い市は？,栃木県の人口統計について,2,20,栃木県で人口密度が最も高いのは宇都宮市です,足利市,宇都宮市,栃木市,佐野市,2
歴史,栃木県の「壬生城」の築城年は？,栃木県の歴史について,2,25,壬生城は戦国時代に築城されました,平安時代,戦国時代,江戸時代,明治時代,2
観光,那須高原の標高で最も高い場所は？,栃木県の観光について,2,20,那須高原の最高地点は茶臼岳（1,915m）です,茶臼岳,三本槍岳,男体山,白根山,1
産業,栃木県の工業で最も輸出額が多い製品は？,栃木県の貿易について,2,25,栃木県の工業輸出額は自動車部品が最も多いです,食品,自動車部品,電子機器,化学製品,2
特産品,栃木県の「佐野ラーメン」の店舗数は約何店？,栃木県の食文化について,2,25,佐野市には約100店のラーメン店があります,50店,100店,150店,200店,2
文化,栃木県の祭り「足利まつり」の開催時期は？,栃木県の伝統文化について,2,20,足利まつりは11月に開催されます,5月,8月,11月,12月,3
地理,栃木県の県歌のタイトルは？,栃木県のシンボルについて,1,15,栃木県の県歌は「栃木県民の歌」です,栃木県歌,栃木県民の歌,栃木県の歌,栃木県歌謡,2
歴史,栃木県の「足利学校」の創設年は？,栃木県の歴史について,2,25,足利学校は平安時代末期に創設されました,奈良時代,平安時代末期,鎌倉時代,室町時代,2
観光,日光の「輪王寺」の国宝は？,栃木県の文化財について,2,20,輪王寺の国宝は三仏堂です,本堂,三仏堂,鐘楼,山門,2
産業,栃木県の農業で最も生産額が多い野菜は？,栃木県の農業について,2,20,栃木県の野菜生産額はキャベツが最も多いです,トマト,キャベツ,レタス,キュウリ,2
特産品,栃木県の「那須和牛」の等級は？,栃木県の畜産について,2,20,那須和牛はA5等級の高級和牛です,A3等級,A5等級,B3等級,B5等級,2
文化,栃木県の伝統工芸「結城紬」の歴史は？,栃木県の伝統工芸について,2,25,結城紬は奈良時代から続く伝統工芸です,平安時代,奈良時代,鎌倉時代,室町時代,2
地理,栃木県の県章のデザインは？,栃木県のシンボルについて,2,20,栃木県の県章は「栃」の文字を図案化したものです,「栃」の文字,「木」の文字,県花,県木,1
歴史,栃木県の「佐野城」の築城年は？,栃木県の歴史について,2,25,佐野城は戦国時代に築城されました,平安時代,戦国時代,江戸時代,明治時代,2
観光,鬼怒川温泉の泉温は約何度？,栃木県の温泉について,2,20,鬼怒川温泉の泉温は約50-60度です,30-40度,50-60度,70-80度,90度以上,2
産業,栃木県の工業で最も従業者数が多い業種は？,栃木県の産業について,2,25,栃木県の工業従業者数は自動車製造業が最も多いです,食品製造業,自動車製造業,電子機器製造業,化学工業,2
特産品,栃木県の「宇都宮餃子」の特徴的な調理法は？,栃木県の食文化について,2,20,宇都宮餃子は焼き餃子が特徴です,水餃子,焼き餃子,蒸し餃子,揚げ餃子,2
文化,栃木県の祭り「栃木まつり」の開催時期は？,栃木県の伝統文化について,2,20,栃木まつりは10月に開催されます,5月,8月,10月,12月,3
地理,栃木県の県民の日は？,栃木県の記念日について,1,15,栃木県の県民の日は6月15日です,5月15日,6月15日,7月15日,8月15日,2
歴史,栃木県の「小山城」の築城年は？,栃木県の歴史について,2,25,小山城は戦国時代に築城されました,平安時代,戦国時代,江戸時代,明治時代,2
観光,那須温泉の源泉数は約何本？,栃木県の温泉について,2,20,那須温泉の源泉数は約50本です,20本,50本,80本,100本,2
産業,栃木県の農業で最も栽培面積が大きい野菜は？,栃木県の農業について,2,20,栃木県の野菜栽培面積はキャベツが最も大きいです,トマト,キャベツ,レタス,キュウリ,2
特産品,栃木県の「佐野うどん」の店舗数は約何店？,栃木県の食文化について,2,25,佐野市には約50店のうどん店があります,20店,50店,80店,100店,2
文化,栃木県の伝統工芸「益子焼」の歴史は？,栃木県の伝統工芸について,2,25,益子焼は江戸時代中期から始まりました,平安時代,江戸時代中期,明治時代,大正時代,2
地理,栃木県の県民の歌の作詞者は？,栃木県の文化について,2,25,栃木県民の歌の作詞者は土井晩翠です,北原白秋,土井晩翠,島崎藤村,与謝野晶子,2
歴史,栃木県の「壬生城」の城主の最後は？,栃木県の歴史について,2,25,壬生城の最後の城主は壬生氏でした,宇都宮氏,壬生氏,佐野氏,小山氏,2
観光,日光の「東照宮」の建立年は？,栃木県の世界遺産について,2,20,日光東照宮は1636年に建立されました,1603年,1636年,1650年,1700年,2
産業,栃木県の工業で最も輸出額が多い国は？,栃木県の貿易について,2,25,栃木県の工業輸出額はアメリカが最も多いです,中国,アメリカ,韓国,ドイツ,2
特産品,栃木県の「那須高原のチーズ」の種類は？,栃木県の特産品について,2,20,那須高原のチーズはカマンベールチーズが有名です,モッツァレラ,カマンベール,チェダー,ゴーダ,2
文化,栃木県の祭り「鹿沼今宮神社祭」の開催時期は？,栃木県の伝統文化について,2,20,鹿沼今宮神社祭は10月に開催されます,5月,8月,10月,12月,3
地理,栃木県の県民の歌の作曲者は？,栃木県の文化について,2,25,栃木県民の歌の作曲者は信時潔です,山田耕筰,信時潔,團伊玖磨,武満徹,2
歴史,栃木県の「佐野城」の城主の最後は？,栃木県の歴史について,2,25,佐野城の最後の城主は佐野氏でした,宇都宮氏,佐野氏,小山氏,壬生氏,2
観光,鬼怒川温泉の泉質の特徴は？,栃木県の温泉について,2,20,鬼怒川温泉は無色透明の泉質です,乳白色,無色透明,茶色,緑色,2
産業,栃木県の農業で最も生産額が多い果実は？,栃木県の農業について,2,20,栃木県の果実生産額はいちごが最も多いです,りんご,いちご,ぶどう,もも,2
特産品,栃木県の「宇都宮餃子」の具材で最も多いのは？,栃木県の食文化について,2,20,宇都宮餃子の具材で最も多いのはキャベツです,ニラ,キャベツ,白菜,もやし,2
文化,栃木県の伝統工芸「結城紬」の産地は？,栃木県の伝統工芸について,2,20,結城紬は茨城県結城市と栃木県小山市で作られます,益子町,小山市,足利市,佐野市,2 
