category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
開発手法,ペアプログラミングの利点は？,アジャイル開発手法について,2,20,知識共有とコード品質向上が主要な利点です,開発速度向上,知識共有,コスト削減,リモート作業,2
ビジネスモデル,マーケットプレイスモデルの収益源は？,収益モデルについて,2,20,取引手数料がマーケットプレイスの主要収益源です,広告収益,取引手数料,サブスクリプション,ライセンス料,2
資金調達,バリュエーションの計算方法で最も一般的なのは？,企業価値評価について,2,25,将来のキャッシュフローを現在価値に割り引くDCF法が一般的です,資産価値,DCF法,市場比較法,収益倍率法,2
スタートアップ基礎,プロダクト・マーケット・フィットの指標は？,PMFについて,2,25,ユーザーの40%以上が「非常に残念」と答えることです,売上高,ユーザー満足度,40%以上が「非常に残念」,成長率,3
プロダクト開発,ユーザーインタビューの最適な人数は？,ユーザーリサーチについて,2,20,5-10人程度でユーザーパターンの80%を把握できます,1-3人,5-10人,20-30人,50人以上,2
技術選定,モノリシックアーキテクチャの利点は？,システム設計について,2,20,開発・デプロイの簡素化とデバッグの容易さが利点です,スケーラビリティ,開発簡素化,マイクロサービス化,分散化,2
スケーラビリティ,キャッシュの主な目的は？,パフォーマンス最適化について,2,20,データアクセス速度向上とデータベース負荷軽減が目的です,データ保存,アクセス速度向上,セキュリティ,バックアップ,2
セキュリティ,二要素認証（2FA）の要素は？,認証セキュリティについて,1,15,知識（パスワード）と所有物（デバイス）の組み合わせです,パスワードとデバイス,ユーザー名とパスワード,メールとSMS,指紋と顔認証,1
データ分析,チャーンレートの計算方法は？,ユーザー分析について,2,20,期間中の離脱ユーザー数÷期間開始時のユーザー数です,新規ユーザー数÷総ユーザー数,離脱ユーザー数÷開始時ユーザー数,売上÷ユーザー数,アクティブユーザー÷総ユーザー,2
クラウド・インフラ,Kubernetesの主な機能は？,コンテナオーケストレーションについて,2,25,コンテナの自動デプロイ・スケーリング・管理が主機能です,仮想化,コンテナ管理,ストレージ管理,ネットワーク管理,2
開発手法,スクラムのデイリースタンドアップの目的は？,アジャイル開発について,1,15,チーム間の進捗共有と障害の早期発見が目的です,進捗共有,会議時間短縮,上司への報告,ドキュメント作成,1
ビジネスモデル,ライセンスモデルの特徴は？,収益モデルについて,2,20,ソフトウェア使用権を販売するモデルです,サブスクリプション,使用権販売,広告収益,フリーミアム,2
資金調達,シリーズAラウンドの目的は？,資金調達段階について,2,20,事業拡大とチーム拡大のための資金調達です,アイデア検証,事業拡大,IPO準備,債務返済,2
スタートアップ基礎,バーンアウト率の計算方法は？,資金管理について,2,20,月間支出÷資金残高で計算します,収益÷支出,月間支出÷資金残高,売上÷コスト,利益÷投資額,2
プロダクト開発,プロトタイピングの目的は？,プロダクト開発手法について,2,20,アイデアの早期検証とユーザーフィードバック収集が目的です,完璧な製品作成,早期検証,コスト削減,競合分析,2
技術選定,GraphQLの利点は？,API設計について,2,25,必要なデータのみを取得できる効率的なAPIです,高速通信,必要データのみ取得,自動化,セキュリティ,2
スケーラビリティ,シャーディングの目的は？,データベース設計について,2,20,データを複数のサーバーに分散して負荷を分散します,バックアップ,負荷分散,セキュリティ,高速化,2
セキュリティ,CSRF攻撃の対策は？,Webセキュリティについて,2,25,CSRFトークンの使用が最も効果的です,HTTPS,CSRFトークン,ファイアウォール,暗号化,2
データ分析,ファネルの各段階で測定すべき指標は？,マーケティング分析について,2,25,各段階のコンバージョン率とドロップオフ率です,トラフィック数,コンバージョン率とドロップオフ率,滞在時間,リピート率,2
クラウド・インフラ,サーバーレス関数の特徴は？,クラウド技術について,2,20,イベント駆動で自動スケーリングする特徴があります,常時稼働,イベント駆動,手動管理,固定リソース,2
開発手法,テスト駆動開発（TDD）のサイクルは？,開発手法について,2,20,Red-Green-Refactorのサイクルです,Plan-Do-Check-Act,Red-Green-Refactor,Analyze-Design-Implement,Design-Code-Test,2
ビジネスモデル,アフィリエイトモデルの収益源は？,収益モデルについて,1,15,紹介手数料がアフィリエイトの収益源です,広告収益,紹介手数料,サブスクリプション,ライセンス料,2
資金調達,バリュエーションキャップの特徴は？,投資条件について,2,20,将来の資金調達時の最低価値を保証する仕組みです,最低価値保証,最高価値制限,固定価値,変動価値,1
スタートアップ基礎,カスタマーライフタイムバリュー（CLV）の計算要素は？,顧客価値分析について,2,25,購入頻度・平均購入額・顧客寿命が計算要素です,新規顧客数,購入頻度・平均購入額・顧客寿命,売上高,マーケティングコスト,2
プロダクト開発,ユーザージャーニーマップの目的は？,UX設計について,2,20,ユーザーの体験全体を可視化して改善点を特定することです,デザイン改善,体験可視化,機能追加,コスト削減,2
技術選定,リアクティブプログラミングの特徴は？,プログラミングパラダイムについて,2,25,データストリームと非同期処理に特化したプログラミングです,手続き型,データストリーム,オブジェクト指向,関数型,2
スケーラビリティ,レプリケーションの目的は？,データベース設計について,2,20,可用性向上と読み取り性能向上が目的です,バックアップ,可用性向上,セキュリティ,容量拡張,2
セキュリティ,ゼロトラストセキュリティの原則は？,セキュリティモデルについて,2,25,「信頼しない、常に検証する」が基本原則です,境界防御,信頼しない・常に検証,暗号化,認証強化,2
データ分析,コホート分析で「コホート」とは？,分析手法について,2,20,同じ期間に特定の行動を取ったユーザーグループです,全ユーザー,特定期間のユーザーグループ,新規ユーザー,アクティブユーザー,2
クラウド・インフラ,コンテナオーケストレーションの利点は？,コンテナ技術について,2,25,自動化されたデプロイ・スケーリング・管理が利点です,軽量化,自動化,セキュリティ,コスト削減,2
開発手法,アジャイル開発の「アジャイル」の意味は？,開発手法について,1,15,「機敏な」「素早い」という意味です,完璧な,機敏な,段階的な,計画的な,2
ビジネスモデル,フランチャイズモデルの特徴は？,ビジネスモデルについて,2,20,ブランド・ノウハウ・システムの提供が特徴です,完全独立,ブランド・ノウハウ提供,共同出資,ライセンス販売,2
資金調達,エクイティファイナンスの特徴は？,資金調達方法について,2,20,株式を発行して資金を調達する方法です,返済不要,株式発行,金利支払い,担保必要,2
スタートアップ基礎,プロダクト・マーケット・フィットの測定方法は？,PMF測定について,2,25,ユーザー調査で「非常に残念」の割合を測定します,売上高,ユーザー調査,成長率,競合分析,2
プロダクト開発,ユーザビリティテストの最適な参加者数は？,UXリサーチについて,2,20,5-8人程度でユーザーパターンの80%を把握できます,1-3人,5-8人,15-20人,30人以上,2
技術選定,イベントソーシングの特徴は？,データ設計パターンについて,2,25,すべての変更をイベントとして記録する設計パターンです,リアルタイム処理,イベント記録,高速検索,自動化,2
スケーラビリティ,水平スケーリングの利点は？,システム拡張について,2,20,単一障害点の回避と柔軟なスケーリングが利点です,コスト削減,単一障害点回避,管理簡素化,性能向上,2
セキュリティ,ペネトレーションテストの目的は？,セキュリティテストについて,2,20,実際の攻撃をシミュレートして脆弱性を発見することです,コンプライアンス,脆弱性発見,監査,教育,2
データ分析,ファネル分析で「ファネル」とは？,分析手法について,1,15,ユーザーの行動を漏斗状に可視化することです,円グラフ,漏斗状可視化,棒グラフ,散布図,2
クラウド・インフラ,マルチクラウド戦略の利点は？,クラウド戦略について,2,25,ベンダーロックイン回避と最適なサービス選択が利点です,コスト削減,ベンダーロックイン回避,セキュリティ,管理簡素化,2
開発手法,デボプスの主な目的は？,開発・運用統合について,2,20,開発と運用の壁をなくして迅速なデリバリーを実現することです,コスト削減,迅速なデリバリー,セキュリティ,品質向上,2
ビジネスモデル,プラットフォームビジネスの特徴は？,ビジネスモデルについて,2,20,複数の参加者を結びつけて価値を創出するモデルです,単一サービス,複数参加者結びつけ,垂直統合,水平展開,2
資金調達,デットファイナンスの特徴は？,資金調達方法について,2,20,借入による資金調達で返済義務があります,返済不要,返済義務,株式発行,利益分配,2
スタートアップ基礎,リーンスタートアップの「リーン」の意味は？,起業手法について,1,15,「無駄のない」「効率的な」という意味です,安価な,無駄のない,高速な,革新的な,2
プロダクト開発,ペルソナ設定の目的は？,UX設計について,2,20,ターゲットユーザーの具体的な像を作成することです,デザイン改善,ターゲット像作成,機能追加,コスト削減,2
技術選定,サーバーレスアーキテクチャの特徴は？,クラウド技術について,2,20,サーバー管理不要でイベント駆動の実行環境です,常時稼働,サーバー管理不要,手動スケーリング,固定リソース,2
スケーラビリティ,キャッシュ無効化の戦略は？,パフォーマンス最適化について,2,25,TTL（Time To Live）とLRU（Least Recently Used）が主要戦略です,自動削除,TTLとLRU,手動削除,容量制限,2
セキュリティ,多要素認証（MFA）の要素数は？,認証セキュリティについて,1,15,2つ以上の認証要素を組み合わせます,1つ,2つ以上,3つ,4つ,2
データ分析,ユーザーエンゲージメントの測定指標は？,ユーザー分析について,2,20,滞在時間・ページビュー・インタラクション数が主要指標です,新規ユーザー数,滞在時間・ページビュー・インタラクション,売上高,登録数,2
クラウド・インフラ,コンテナ化の利点は？,コンテナ技術について,2,20,環境の一貫性と移植性が主要な利点です,軽量化,環境一貫性,セキュリティ,コスト削減,2
開発手法,スクラムのスプリントレビューの目的は？,アジャイル開発について,2,20,完成した機能をステークホルダーにデモンストレーションすることです,進捗報告,デモンストレーション,問題解決,計画策定,2
ビジネスモデル,ハードウェア・ソフトウェア・サービス（HaaS）の特徴は？,ビジネスモデルについて,2,25,ハードウェアとソフトウェアとサービスを組み合わせたモデルです,ハードウェア販売,ハードウェア・ソフトウェア・サービス,ソフトウェアライセンス,サービス提供,2
資金調達,シリーズBラウンドの目的は？,資金調達段階について,2,20,市場拡大と事業規模拡大のための資金調達です,アイデア検証,市場拡大,IPO準備,債務返済,2
スタートアップ基礎,バリュープロポジションの要素は？,ビジネス戦略について,2,25,価値提供・差別化・ターゲット顧客が主要要素です,価格設定,価値提供・差別化・ターゲット顧客,競合分析,マーケティング,2
プロダクト開発,ユーザビリティの5つの要素は？,UX設計について,2,25,学習性・効率性・記憶性・エラー・満足度が5要素です,美しさ・機能性・速度・セキュリティ・コスト,学習性・効率性・記憶性・エラー・満足度,直感性・応答性・一貫性・アクセシビリティ・信頼性,使いやすさ・見た目・速度・安全性・価格,2
技術選定,マイクロフロントエンドの利点は？,フロントエンド設計について,2,25,独立した開発・デプロイと技術選択の自由度が利点です,軽量化,独立開発・デプロイ,セキュリティ,コスト削減,2
スケーラビリティ,データベースシャーディングの戦略は？,データベース設計について,2,25,水平シャーディングと垂直シャーディングが主要戦略です,水平シャーディング,水平・垂直シャーディング,レプリケーション,パーティショニング,2
セキュリティ,暗号化の2つの主要なタイプは？,暗号化技術について,1,15,対称鍵暗号と非対称鍵暗号があります,対称鍵・非対称鍵,公開鍵・秘密鍵,ハッシュ・暗号,ブロック・ストリーム,1
データ分析,RFM分析の「R」は？,顧客分析手法について,2,20,Recency（最新購入日）を表します,Revenue（売上）,Recency（最新購入日）,Retention（継続率）,Return（返品率）,2
クラウド・インフラ,ハイブリッドクラウドの特徴は？,クラウド戦略について,2,20,オンプレミスとクラウドの組み合わせが特徴です,完全クラウド,オンプレミス・クラウド組み合わせ,プライベートクラウド,パブリッククラウド,2
開発手法,テスト駆動開発の「Red」フェーズは？,TDDについて,2,20,失敗するテストを最初に書くフェーズです,テスト実行,失敗テスト作成,テスト修正,リファクタリング,2
ビジネスモデル,データ・モネタイゼーションの方法は？,収益モデルについて,2,25,データ販売・分析サービス・ターゲティング広告が主要方法です,データ販売,データ販売・分析サービス・ターゲティング広告,サブスクリプション,ライセンス料,2
資金調達,バリュエーションの「プレマネー」とは？,企業価値評価について,2,20,資金調達前の企業価値のことです,調達前価値,調達後価値,市場価値,帳簿価値,1
スタートアップ基礎,カスタマーアクイジションコスト（CAC）の計算方法は？,マーケティング指標について,2,25,マーケティング費用÷獲得顧客数で計算します,売上÷顧客数,マーケティング費用÷獲得顧客数,利益÷投資額,コスト÷売上,2
プロダクト開発,ユーザーストーリーの「INVEST」原則の「I」は？,アジャイル開発について,2,20,Independent（独立している）を表します,Important（重要）,Independent（独立）,Iterative（反復）,Innovative（革新的）,2
技術選定,イベント駆動アーキテクチャの特徴は？,システム設計について,2,25,イベントの発生に基づいてシステムが反応する設計です,同期処理,イベント反応,バッチ処理,リアルタイム処理,2
スケーラビリティ,オートスケーリングの設定項目は？,クラウド技術について,2,20,CPU使用率・メモリ使用率・リクエスト数が主要項目です,CPU使用率,CPU・メモリ・リクエスト数,ディスク使用率,ネットワーク使用率,2
セキュリティ,セキュリティヘッダーの「X-Frame-Options」の目的は？,Webセキュリティについて,2,25,クリックジャッキング攻撃を防ぐことが目的です,CSRF対策,クリックジャッキング対策,XSS対策,SQLインジェクション対策,2
データ分析,ファネル分析で「ドロップオフ」とは？,マーケティング分析について,2,20,各段階で離脱するユーザーの割合です,新規ユーザー,離脱ユーザー割合,リピートユーザー,アクティブユーザー,2
クラウド・インフラ,コンテナオーケストレーションの「オーケストレーション」とは？,コンテナ技術について,2,25,複数のコンテナを統合管理することです,個別管理,統合管理,自動化,分散化,2
開発手法,アジャイル開発の「スプリント」とは？,アジャイル開発について,1,15,短い開発サイクルのことです,長期間開発,短い開発サイクル,継続的開発,段階的開発,2
ビジネスモデル,ライセンスビジネスの収益源は？,収益モデルについて,1,15,ライセンス料が主要な収益源です,ライセンス料,サブスクリプション,広告収益,取引手数料,1
資金調達,エクイティクラウドファンディングの特徴は？,資金調達方法について,2,20,不特定多数から株式を通じて資金調達する方法です,個人投資,不特定多数からの株式調達,機関投資,政府支援,2
スタートアップ基礎,プロダクト・マーケット・フィットの「フィット」とは？,PMFについて,2,20,プロダクトと市場の需要が一致している状態です,競合優位,需要一致,技術優位,価格競争力,2
プロダクト開発,ユーザビリティテストの「5秒テスト」とは？,UXテストについて,2,20,5秒間サイトを見せて印象を聞くテストです,5秒間テスト,5分間テスト,5時間テスト,5日間テスト,1
技術選定,GraphQLの「Graph」の意味は？,API設計について,2,20,データの関係性をグラフ構造で表現することです,図表,関係性グラフ,ネットワーク,階層構造,2
スケーラビリティ,レプリケーションの「マスター・スレーブ」とは？,データベース設計について,2,25,書き込み用マスターと読み取り用スレーブの構成です,対等構成,マスター・スレーブ構成,分散構成,集中構成,2
セキュリティ,ゼロデイ脆弱性とは？,セキュリティ脅威について,2,20,修正パッチが存在しない新発見の脆弱性です,既知脆弱性,修正パッチなし脆弱性,古い脆弱性,軽微な脆弱性,2
データ分析,コホート分析の「コホート」の語源は？,分析手法について,1,15,ラテン語で「群れ」を意味します,英語,ラテン語,ギリシャ語,フランス語,2
クラウド・インフラ,サーバーレスの「サーバーレス」の意味は？,クラウド技術について,1,15,サーバー管理が不要という意味です,サーバーなし,サーバー管理不要,サーバー軽量,サーバー分散,2
開発手法,スクラムの「スクラム」の語源は？,アジャイル開発について,1,15,ラグビーのスクラムから来ています,サッカー,ラグビー,バスケットボール,野球,2
ビジネスモデル,フリーミアムの「ミアム」の意味は？,収益モデルについて,1,15,「プレミアム」の略です,無料,プレミアム,有料,基本,2
資金調達,シリーズCラウンドの目的は？,資金調達段階について,2,20,国際展開や大規模事業拡大のための資金調達です,アイデア検証,国際展開,IPO準備,債務返済,2 
