category,title,description,difficulty,timeLimit,explanation,choice1,choice2,choice3,choice4,correct
監督,湯浅政明監督の代表作は？,アニメ監督について,2,20,湯浅政明監督の代表作は「四畳半神話大系」です,「四畳半神話大系」,「ピンポン THE ANIMATION」,「DEVILMAN crybaby」,「日本沈没2020」,1
声優,「BLEACH」の黒崎一護の声優は？,声優について,1,15,黒崎一護の声優は森田成一です,森田成一,杉田智和,福山潤,神谷浩史,1
音楽,「BLEACH」の主題歌「*〜アスタリスク〜」の歌は？,アニメ音楽について,2,20,「*〜アスタリスク〜」はORANGE RANGEが歌っています,ORANGE RANGE,UVERworld,Aqua Timez,YUI,1
制作会社,「BLEACH」を制作した会社は？,アニメ制作会社について,2,20,「BLEACH」はぴえろが制作しました,ぴえろ,サンライズ,ボンズ,マッドハウス,1
作品,「NARUTO」の主人公うずまきナルトの父親は？,アニメ作品について,2,20,ナルトの父親は四代目火影の波風ミナトです,波風ミナト,猿飛ヒルゼン,自来也,大蛇丸,1
監督,山田尚子監督の代表作は？,アニメ監督について,2,20,山田尚子監督の代表作は「けいおん！」です,「けいおん！」,「リズと青い鳥」,「映画 聲の形」,「たまこまーけっと」,1
声優,「NARUTO」のナルトの声優は？,声優について,1,15,ナルトの声優は竹内順子です,竹内順子,杉田智和,福山潤,神谷浩史,1
音楽,「NARUTO」の主題歌「GO!!!」の歌は？,アニメ音楽について,2,20,「GO!!!」はFLOWが歌っています,FLOW,ASIAN KUNG-FU GENERATION,ORANGE RANGE,UVERworld,1
制作会社,「NARUTO」を制作した会社は？,アニメ制作会社について,2,20,「NARUTO」はぴえろが制作しました,ぴえろ,サンライズ,ボンズ,マッドハウス,1
作品,「FAIRY TAIL」の主人公ナツ・ドラグニルの魔法は？,アニメ作品について,2,20,ナツ・ドラグニルの魔法は火の滅竜魔法です,火の滅竜魔法,雷の滅竜魔法,鉄の滅竜魔法,天の滅竜魔法,1
監督,石原立也監督の代表作は？,アニメ監督について,2,20,石原立也監督の代表作は「涼宮ハルヒの憂鬱」です,「涼宮ハルヒの憂鬱」,「CLANNAD」,「Kanon」,「AIR」,1
声優,「FAIRY TAIL」のナツの声優は？,声優について,1,15,ナツの声優は柿原徹也です,柿原徹也,福山潤,神谷浩史,杉田智和,1
音楽,「FAIRY TAIL」の主題歌「Snow fairy」の歌は？,アニメ音楽について,2,20,「Snow fairy」はFUNKISTが歌っています,FUNKIST,FLOW,ORANGE RANGE,UVERworld,1
制作会社,「FAIRY TAIL」を制作した会社は？,アニメ制作会社について,2,20,「FAIRY TAIL」はA-1 Picturesが制作しました,A-1 Pictures,サンライズ,ボンズ,マッドハウス,1
作品,「銀魂」の主人公坂田銀時の武器は？,アニメ作品について,1,15,坂田銀時の武器は木刀です,木刀,真刀,銃,手裏剣,1
監督,新房昭之監督の代表作は？,アニメ監督について,2,20,新房昭之監督の代表作は「化物語」です,「化物語」,「魔法少女まどか☆マギカ」,「偽物語」,「傷物語」,1
声優,「銀魂」の銀時の声優は？,声優について,1,15,銀時の声優は杉田智和です,杉田智和,福山潤,神谷浩史,中井和哉,1
音楽,「銀魂」の主題歌「Pray」の歌は？,アニメ音楽について,2,20,「Pray」はTommy heavenly6が歌っています,Tommy heavenly6,DOES,SPYAIR,FLOW,1
制作会社,「銀魂」を制作した会社は？,アニメ制作会社について,2,20,「銀魂」はサンライズが制作しました,サンライズ,ボンズ,マッドハウス,Production I.G,1
作品,「コードギアス」の主人公ルルーシュ・ランペルージの能力は？,アニメ作品について,2,20,ルルーシュの能力はギアス（絶対遵守の命令）です,ギアス,ナイトメア,ブリタニア,エリア11,1
監督,谷口悟朗監督の代表作は？,アニメ監督について,2,20,谷口悟朗監督の代表作は「コードギアス 反逆のルルーシュ」です,「コードギアス 反逆のルルーシュ」,「無限のリヴァイアス」,「スクライド」,「プラネテス」,1
声優,「コードギアス」のルルーシュの声優は？,声優について,1,15,ルルーシュの声優は福山潤です,福山潤,杉田智和,神谷浩史,櫻井孝宏,1
音楽,「コードギアス」の主題歌「COLORS」の歌は？,アニメ音楽について,2,20,「COLORS」はFLOWが歌っています,FLOW,ORANGE RANGE,UVERworld,ASIAN KUNG-FU GENERATION,1
制作会社,「コードギアス」を制作した会社は？,アニメ制作会社について,2,20,「コードギアス」はサンライズが制作しました,サンライズ,ボンズ,マッドハウス,Production I.G,1
作品,「鋼の錬金術師」の主人公エドワード・エルリックの特徴は？,アニメ作品について,1,15,エドワード・エルリックは機械鎧の右腕と左足を持っています,機械鎧の右腕と左足,両腕,両足,目,1
監督,水島精二監督の代表作は？,アニメ監督について,2,20,水島精二監督の代表作は「鋼の錬金術師」です,「鋼の錬金術師」,「機動戦士ガンダム00」,「エヴァンゲリオン」,「マクロス」,1
声優,「鋼の錬金術師」のエドワードの声優は？,声優について,1,15,エドワードの声優は朴璐美です,朴璐美,釘宮理恵,三瓶由布子,小清水亜美,1
音楽,「鋼の錬金術師」の主題歌「メリッサ」の歌は？,アニメ音楽について,2,20,「メリッサ」はポルノグラフィティが歌っています,ポルノグラフィティ,FLOW,ORANGE RANGE,UVERworld,1
制作会社,「鋼の錬金術師」を制作した会社は？,アニメ制作会社について,2,20,「鋼の錬金術師」はボンズが制作しました,ボンズ,サンライズ,マッドハウス,Production I.G,1
作品,「Fate/stay night」の主人公衛宮士郎の能力は？,アニメ作品について,2,20,衛宮士郎の能力は投影（トレース）です,投影,強化,変換,具現化,1
監督,山口祐司監督の代表作は？,アニメ監督について,2,20,山口祐司監督の代表作は「Fate/stay night」です,「Fate/stay night」,「Fate/Zero」,「Fate/UBW」,「Fate/Apocrypha」,1
声優,「Fate/stay night」の士郎の声優は？,声優について,1,15,士郎の声優は杉山紀彰です,杉山紀彰,神谷浩史,福山潤,櫻井孝宏,1
音楽,「Fate/stay night」の主題歌「disillusion」の歌は？,アニメ音楽について,2,20,「disillusion」はタイナカサチが歌っています,タイナカサチ,LiSA,ClariS,Kalafina,1
制作会社,「Fate/stay night」を制作した会社は？,アニメ制作会社について,2,20,「Fate/stay night」はスタジオディーンが制作しました,スタジオディーン,ufotable,サンライズ,ボンズ,1
作品,「マクロスF」の主人公早乙女アルトの職業は？,アニメ作品について,2,20,早乙女アルトの職業はパイロット兼アイドルです,パイロット兼アイドル,パイロットのみ,アイドルのみ,学生,1
監督,河森正治監督の代表作は？,アニメ監督について,2,20,河森正治監督の代表作は「マクロス」シリーズです,「マクロス」シリーズ,「ガンダム」シリーズ,「エヴァンゲリオン」,「攻殻機動隊」,1
声優,「マクロスF」のアルトの声優は？,声優について,1,15,アルトの声優は中村悠一です,中村悠一,福山潤,神谷浩史,杉田智和,1
音楽,「マクロスF」の主題歌「トライアングラー」の歌は？,アニメ音楽について,2,20,「トライアングラー」は坂本真綾が歌っています,坂本真綾,中島愛,May'n,ClariS,1
制作会社,「マクロスF」を制作した会社は？,アニメ制作会社について,2,20,「マクロスF」はサテライトが制作しました,サテライト,サンライズ,ボンズ,マッドハウス,1
作品,「涼宮ハルヒの憂鬱」の主人公涼宮ハルヒの能力は？,アニメ作品について,2,20,涼宮ハルヒの能力は世界を変える力です,世界を変える力,時間を止める力,空間を操る力,記憶を消す力,1
監督,石原立也監督の代表作は？,アニメ監督について,2,20,石原立也監督の代表作は「涼宮ハルヒの憂鬱」です,「涼宮ハルヒの憂鬱」,「CLANNAD」,「Kanon」,「AIR」,1
声優,「涼宮ハルヒの憂鬱」のハルヒの声優は？,声優について,1,15,ハルヒの声優は平野綾です,平野綾,茅原実里,後藤邑子,小野大輔,1
音楽,「涼宮ハルヒの憂鬱」の主題歌「冒険でしょでしょ？」の歌は？,アニメ音楽について,2,20,「冒険でしょでしょ？」は平野綾が歌っています,平野綾,茅原実里,後藤邑子,小野大輔,1
制作会社,「涼宮ハルヒの憂鬱」を制作した会社は？,アニメ制作会社について,2,20,「涼宮ハルヒの憂鬱」は京都アニメーションが制作しました,京都アニメーション,サンライズ,ボンズ,マッドハウス,1
作品,「けいおん！」の主人公平沢唯の楽器は？,アニメ作品について,1,15,平沢唯の楽器はギターです,ギター,ベース,ドラム,キーボード,1
監督,山田尚子監督の代表作は？,アニメ監督について,2,20,山田尚子監督の代表作は「けいおん！」です,「けいおん！」,「リズと青い鳥」,「映画 聲の形」,「たまこまーけっと」,1
声優,「けいおん！」の唯の声優は？,声優について,1,15,唯の声優は豊崎愛生です,豊崎愛生,日笠陽子,佐藤聡美,寿美菜子,1
音楽,「けいおん！」の主題歌「Cagayake!GIRLS」の歌は？,アニメ音楽について,2,20,「Cagayake!GIRLS」は放課後ティータイムが歌っています,放課後ティータイム,HTT,けいおん部,桜高軽音部,1
制作会社,「けいおん！」を制作した会社は？,アニメ制作会社について,2,20,「けいおん！」は京都アニメーションが制作しました,京都アニメーション,サンライズ,ボンズ,マッドハウス,1
作品,「化物語」の主人公阿良々木暦の特徴は？,アニメ作品について,2,20,阿良々木暦は吸血鬼の体質を持っています,吸血鬼の体質,人間,妖怪,神,1
監督,新房昭之監督の代表作は？,アニメ監督について,2,20,新房昭之監督の代表作は「化物語」です,「化物語」,「魔法少女まどか☆マギカ」,「偽物語」,「傷物語」,1
声優,「化物語」の暦の声優は？,声優について,1,15,暦の声優は神谷浩史です,神谷浩史,福山潤,杉田智和,櫻井孝宏,1
音楽,「化物語」の主題歌「staple stable」の歌は？,アニメ音楽について,2,20,「staple stable」は斎藤千和が歌っています,斎藤千和,花澤香菜,堀江由衣,加藤英美里,1
制作会社,「化物語」を制作した会社は？,アニメ制作会社について,2,20,「化物語」はシャフトが制作しました,シャフト,サンライズ,ボンズ,マッドハウス,1
作品,「魔法少女まどか☆マギカ」の主人公鹿目まどかの願いは？,アニメ作品について,2,20,まどかの願いは「すべての魔法少女を救う」ことです,すべての魔法少女を救う,世界を平和にする,家族を守る,友達を助ける,1
監督,新房昭之監督の代表作は？,アニメ監督について,2,20,新房昭之監督の代表作は「魔法少女まどか☆マギカ」です,「魔法少女まどか☆マギカ」,「化物語」,「偽物語」,「傷物語」,1
声優,「魔法少女まどか☆マギカ」のまどかの声優は？,声優について,1,15,まどかの声優は悠木碧です,悠木碧,斎藤千和,水橋かおり,野中藍,1
音楽,「魔法少女まどか☆マギカ」の主題歌「コネクト」の歌は？,アニメ音楽について,2,20,「コネクト」はClariSが歌っています,ClariS,Kalafina,LiSA,やなぎなぎ,1
制作会社,「魔法少女まどか☆マギカ」を制作した会社は？,アニメ制作会社について,2,20,「魔法少女まどか☆マギカ」はシャフトが制作しました,シャフト,サンライズ,ボンズ,マッドハウス,1
作品,「進撃の巨人」の主人公エレン・イェーガーの父親は？,アニメ作品について,2,20,エレンの父親はグリシャ・イェーガーです,グリシャ・イェーガー,ハンネス,キース・シャディス,エルヴィン・スミス,1
監督,荒木哲郎監督の代表作は？,アニメ監督について,2,20,荒木哲郎監督の代表作は「進撃の巨人」です,「進撃の巨人」,「デスノート」,「ハイスクール・オブ・ザ・デッド」,「ブラック・ラグーン」,1
声優,「進撃の巨人」のエレンの声優は？,声優について,1,15,エレンの声優は梶裕貴です,梶裕貴,石川由依,井上麻里奈,谷山紀章,1
音楽,「進撃の巨人」の主題歌「紅蓮の弓矢」の歌は？,アニメ音楽について,2,20,「紅蓮の弓矢」はLinked Horizonが歌っています,Linked Horizon,Linked Horizon,Linked Horizon,Linked Horizon,1
制作会社,「進撃の巨人」を制作した会社は？,アニメ制作会社について,2,20,「進撃の巨人」はWIT STUDIOが制作しました,WIT STUDIO,サンライズ,ボンズ,マッドハウス,1
作品,「鬼滅の刃」の主人公竈門炭治郎の家族は？,アニメ作品について,1,15,炭治郎の家族は母親と弟妹です,母親と弟妹,父親と母親,兄弟のみ,一人暮らし,1
監督,外崎春雄監督の代表作は？,アニメ監督について,2,20,外崎春雄監督の代表作は「鬼滅の刃」です,「鬼滅の刃」,「Fate/stay night」,「Fate/Zero」,「Fate/UBW」,1
声優,「鬼滅の刃」の炭治郎の声優は？,声優について,1,15,炭治郎の声優は花江夏樹です,花江夏樹,梶裕貴,福山潤,神谷浩史,1
音楽,「鬼滅の刃」の主題歌「紅蓮華」の歌は？,アニメ音楽について,2,20,「紅蓮華」はLiSAが歌っています,LiSA,ClariS,Kalafina,やなぎなぎ,1
制作会社,「鬼滅の刃」を制作した会社は？,アニメ制作会社について,2,20,「鬼滅の刃」はufotableが制作しました,ufotable,サンライズ,ボンズ,マッドハウス,1 
